32bpp_anim_aa-blitter [b]32bpp блиттер с антиалиясингом[/b] запускать с ключиком "openttd -b 32bpp-anim-aa" или в openttd.ini "blitter = 32bpp-anim-aa". сравнение картинки см. ссылке ->
additional-taxes        [b]Дополнительные налоги[/b]. После начала, 2 года компания освождается от налогов.[list][*] ~10% стоимости компании в год после достижения 250 000 фунтов стерлингов (скок в рублях хз) [*] ~20%  стоимости компании в год после достижения 1 500 000 фунтов стерлингов (может кто посчитает в русских рупиях?) [*]денюжка из налогов идет на создание новых предприятий[/list]
airport-close           [b]Закрытие аэропорта[/b]
airport-upgrade         [b]Обновление аэропортов[/b] без удаления поверх старого.
atc			[b]Автоматический контроль скорости[/b] Поезда идущие за более медленным снижают скорость чтобы идти более ровно
ats                     [b]Автоматические расписания[/b] - [url=http://ttdrussia.net/forums/viewtopic.php?f=14&t=3419&p=35305#p35305]Краткое описание на русском языке[/url]
build-and-refit         [b]Переоборудовать при покупке[/b] Кнопочка в окне строительства транспорта, чтобы сразу переоборудовать в выделенный вид груза в фильтре. Удобно при покупке однотипных вагонов для разных грузов.
building-costs          [b]Улучшенные цены на строительство[/b] - Маленький удаленький патчик. позволяющий настроить коэффициенты стоимости строительства туннелей, мостов, аэропортов и земляных работ! (аналогичный по свойствам GRF изменяет цену строительства на склонах. Этот патч нет!). Играть с 50x на терраформ - [u]совсем другое очучение[/u] :)
cargo_dist              [b]Распределение грузов на основе спроса и предложения.[/b]
cd                      [b]Распределение грузов[/b] - теперь пассажиры и грузы имеют пункты назначения
clipboard               [b]Копирование / Вставка[/b] инфраструктуры - клавиши Ctrl+C/Ctrl+V для копирования/вставки и Ctrl+(Left|Right|Up|Down) для поворотов/отражения.
cmd-train-console       [b]Новые консольные команды[/b]. Мануал и хотя бы осмотрется какие команды этот патч добавляет можно [url=http://wiki.openttd.org/Vehicle_console_commands]тут[/url], [url=http://wiki.openttd.org/Town_console_commands]здесь[/url] и [url=http://wiki.openttd.org/index.php/Industry_console_commands]тут[/url]
Daily-autosave          Можно выставить автосохрание на раз в день или в неделю. Актуально если стоит коэффициент длины дня.
daily-autosave          Поддержка ежедневного автосохранения
daily-scripts           [b]Запуск ваших скриптов каждый день, месяц и год[/b] - позволяет иметь ежедневно, ежемесячно и ежегодно запускаемые скрипты [list][*]scripts/on_newday.scr[*]scripts/on_newmonth.scr[*]scripts/on_newyear.scr[/list]
daylen                  [b]Настройка длины дня[/b] 
default-settings	[b]Настройки по умолчанию[/b] для сложной игры
departure-boards        [b]Расписание станции[/b]
extra-large-maps        [b]Очень большие карты[/b]
ez                      [b]Экстра-зум[/b] Дополнительное приближение главного окна. Дает возможность рассматривать 32битную графику в игре. Для этого следует запускать OpenTTD с 32bpp-optimized блиттером. Репозитарий 32-битной графики  есть тут: http://jupix.info/openttd/gfxdev-repo/ (логин/пароль: guest/guest)
fastest-bridge          [b]Быстрая постройка мостов[/b] Этот патч добавляет возможность при зажатом Ctrl в момент строительства моста строить сразу самый быстрый мост, без показа окна выбора моста.
forecast_display		[b]Прогноз cпроса и поставок станций[/b]
fix-fences				[b]Красивые оградки[/b]
grass-on-tracks [b]Травка на забытых жд путях[/b]
group-by-property       [b]Группировка по свойствам[/b] Добавляет выпадающий список к "Создать группу" кнопке в окне траспорта. Используя его можно создавать группы транспорта основанных на общих свойствах: старые, отрицательная прибыль, средняя прибыль, хорошая прибыль.
group-info              [b]Инфо по группе[/b] Когда выбирается группа, патч показывает для всей группы:[list][*]Доход в этом году: Доход всего транспорта в этой группе за этот год [*]Доход за прошлый год: доход всего транспорта в этой группе за прошлый год [*]Иконка дохода: работает также как и кнопка дохода у транспорта, но для всей группы[/list]
gui-tweaks		        [b]Изменение в расположении кнопок в окнах[/b]. Также добавлен модификатор ALT клавиши при добавлении нового задания - оно будет "выгрузить все и уйти пустым"
harder-game             Набор патчей, усложняющих игру.
IB                      [b]Улучшенные поломки[/b]. /Hirundo, bigos, Vaulter/ Наверное самый прикольный патчик после CargoDist. Теперь транспорт может не просто заглохнуть, но, например, снизить тягу, скорость, а самолетам потребуется срочная посадка.
improved-loans          [b]Максимальная ссуда[/b] зависит от величины компании. На различных уровнях сложность - различные проценты по займу.
industry-stationnames   [b]Имена станции по ближайшим предприятиям[/b]
info-speed-wagons       [b]Отображение скорости вагонов[/b] на странице деталей у поездов
infrastructure_maintenance      [b]Налоги на имущество[/b] - Они вычитаются как процент от стоимости всех зданий, дорог, мостов и туннелей. Поэтому становится еще выгоднее оптимальнее использовать и строить сеть.
is2				[b]Совместная инфраструктура[/b] - выключена по умолчанию
keyb_config             Конфигурация горячих клавиш
leasing                 Транспорт в [b]лизинг[/b] (долгосрочная аренда с правом выкупа)
leave-orders            [b]Отправление от станции по прибытии другого транспорта[/b]
low-level-opt           Патч с небольшой низко-уровневой оптимизацией, особенно для linux/gcc конфигурации.
measurement		[b]Инструмент измерения[/b] расстояний и высот
minimap-screenshot      [b]Скриншот карты[/b] добавляет консольную команду `minimap`, делающую скриншот миникарты.
more-cond-orders        Добавляет [b]больше условий в условные задания[/b]
more_diesel_smoke       Больше дыма или искр у локомотивов
no_home_dir             Настройки и данные в папке с игрой
openttd-cargodist-sprinkles    Набор патчей поверх [b][url=http://www.tt-forums.net/viewtopic.php?t=41992]CargoDist[/url][/b]
polyline_track_tool [b]Рисовалка жд путей[/b] - Чтобы открыть строительство жд путей в этом режиме нужно зажать CTRL когда жмешь кнопку (или CTRL+A)
progwaypoints           [b]Точки пути с правилами[/b]. /Yexo, Vaulter/ Воскрешенный патч, позволяющий фильтровать трафик через точки пути по заданным правилам. Правила могут быть сложными (И/Или) и включают в себя параметры: макс. скорость, мощность, длины, текущий груз, полный груз, станция назначения и группа. Полностью переделал с учетом кода последних OpenTTD, добавил удобный "пикер" значений из поездов.
rating_town_label       [b]Рейтинг города цветом [/b] в названии. Хуже - название красное. Лучше - название зеленое. Оч-удобно.
realistic-loans-system  [b]Проценты по долгу[/b] Делает управление займом и процентами по займу немного более реалистичным. Максимальный долг будет зависить от величины компании и делает выплачиваемые проценты зависимыми от того, насколько хороша твоя кредитная линия.
reload-ai               Добавляет команду в консоль [b]reload-ai <ID>[/b], которой можно перезагрузить AI компанию без удаления всей ее инфраструктуры.
russian-town-names      [b]Русские имена городов[/b], те, которые 6ез GRF от Smoky и еще одного товарища
signaltunnel		[b]Сигналы в туннелях и на мостах[/b]
split-refit             [b]Разделение окна выбора типов грузов[/b] - делает более удобным выбор модели транспорта.
station-build-gui       [b]Улучшенная форма строительства станций[/b]. В сочетании с Industry Renewal Station Set (в сборке) - бомба.
station-cover           [b]Зона покрытия станции[/b].
station-loaders		[b]Станционные грузчики[/b] Оплата за доставку груза на станцию - чем станция дальше от предприятия, тем выше плата за доставку. Оплата идет в раздел "Разное". Идея из патча "Торговца" от constructor.
statue-placement        /TRUNK/ Более бережное размещение статуй компании в городах. В мелких городишках это особенно актуально. Сначала будет попытка разместить статую без сноса зданий. Затем - по старому.
stop-sharing  Заменяет кнопочку "Удалить" на "Не использовать общие", когда выделенно -= конец общих заданий =-. Для прекращения использования общих заданий, но с сохранением списка команд.
stuck_trains            [b]Застрявшие поезда[/b] - Показывает на карте где поезда больше всего простаивают. Смотреть на миникарте в режиме дорог.
timetable-separation    [b]Aвтоматические расписания[/b] и разделение транспорта по ним
town-cargo-factor       [b]Коэффициент генерации грузов городом[/b]. Полезно поставить на -2 (0 - нормальный)
towncost                [b]Повышенные цены на строительство около крупных городов[/b] (цена на землю). [url=http://ttdrussia.net/forums/viewtopic.php?f=14&t=3419&start=45#p35249]Описание[/url].
town-growth-needs-goods  [b]Более интересные условия роста городов[/b] /Gedemon,Chill/ основанные на количестве станции, поставок товаров и т.д. Для роста города нужны пассажиры-почта-товары (к уже имеющимся продуктам и воде в арктике и пустыне) для всех климатов.
townrating_indicator    [b]Изменение рейтинга в городе[/b] всплывает над его названием
tracking-viewport	[b]Следящее за курсором окно[/b]
trafficlights		[b]Светофоры[/b] дорожные [url=http://www.tt-forums.net/viewtopic.php?f=33&t=36261&start=20]trafficlights.grf[/url]
transp-roads-rails-slopes   [b]Прозрачные дороги[/b] - добавляет в настройки прозрачности настройку для дорог. Можно смотреть склоны под дорогами.
trip-history            [b]История поездок[/b] Этот патч показывает информацию о 10 последних поездках транспорта: длительность, доход, опаздывание. Может быть улучшен.
tunnel_vehicles         [b]Прозрачность для туннелей[/b] - настройка для прозрачности туннелей. Видеть поезда в туннелях - забавно.
variable-daylength      Изменение длины дня
vehicle-name-length     Максимальная длина имени транспорт в 250 символов
Vehicle-name-length     Увеличение длины имени транспорта со 150 до 250 символов
vehicle-repair-cost     [b]Плата за починку[/b] каждой поломки 1/1024 стоимости транспорта. Взимаеццо в депо.
vs.russian              [b]Перевод на русский[/b]
watch_gui_7             [b]Слежение за компаниями[/b] Просмотр местоположения последней деятельности компании. Хотя этот патч и задумывался автором как сетевой, за AI тоже интересно иногда подглядеть.
whistle                 Поезд дает свисток, когда заежает на мост или в туннель.
winstate                [b]Сохраняет размеры окон[/b] - для меня особо критичные это окно нового транспорта и окно транспорта. Также миникарта.
zoning                  Показывает [b]зоны[/b] администрации, охватов станций, зданий и т.д. (глючит при добавлении многих newGRF)
zoom64			[b]Больше уровней удаления главного вида[/b] ctrl+scroll - смена режима отображения (промышленность, владельцы, растительность).
